name,quadrant,is_new
Apache Pig,Tools,false
Jasmine paired with Node.js,Languages & Frameworks,false
TICK Stack,Platforms,false
Bottled Water,Tools,false
Bokeh/Vega,Tools,false
Chaos Monkey,Tools,false
Packer,Tools,false
in-toto,Tools,false
EC2 & S3,Platforms,false
Reactor,Languages & Frameworks,false
Quick,Tools,false
Event sourcing,Techniques,false
VCS with “implicit workflow”,Tools,false
SwiftUI,Languages & Frameworks,false
SPIFFE,Platforms,false
Nightwatch,Languages & Frameworks,false
Appium Test Distribution,Tools,false
Reactive Architectures,Techniques,false
HashiCorp Vault,Tools,false
Hybrid clouds,Platforms,false
Backend as a service,Platforms,false
SAFe™,Techniques,false
MariaDB,Platforms,false
Test recorders,Techniques,false
JRuby,Platforms,false
single-spa,Languages & Frameworks,false
Paged.js,Languages & Frameworks,false
Elixir,Languages & Frameworks,false
Zero-code packages,Platforms,false
eBPF,Platforms,false
jQuery Mobile,Tools,false
DevOps,Techniques,false
Snapshot testing only,Techniques,false
JAMstack,Techniques,false
Jepsen,Languages & Frameworks,false
Material UI,Languages & Frameworks,false
Xamarin,Tools,false
Traefik,Tools,false
iFrames for sandboxing,Techniques,false
Istio,Platforms,false
Dashing,Languages & Frameworks,false
Postman,Tools,false
Zepto.js,Platforms,false
Blackbox,Tools,false
wit.ai,Platforms,false
NPM for all the things,Techniques,false
NoPSD,Techniques,false
Cassandra carefully,Platforms,false
Concourse CI,Tools,false
Functional Java,Languages & Frameworks,false
Google App Engine,Platforms,false
Managing stateful systems via container orchestration,Techniques,false
CockroachDB,Platforms,false
Polly,Tools,false
KVM,Platforms,false
SwiftNIO,Languages & Frameworks,false
Event Sourcing,Techniques,false
Enterprise-wide integration test environments,Techniques,false
VR beyond gaming,Techniques,false
Cloudflare Workers,Platforms,false
Reactive Extensions across languages,Languages & Frameworks,false
OpenZeppelin,Languages & Frameworks,false
Kuma,Platforms,false
Mountebank,Tools,false
ASP,Tools,false
PlatformIO,Platforms,false
Rootless containers,Platforms,false
"Scratch, Alice, and Kodu",Languages & Frameworks,false
Puppet,Tools,false
IndiaStack,Platforms,false
TOTP Two-Factor Authentication,Platforms,false
JuMP,Languages & Frameworks,false
Java 8,Languages & Frameworks,false
Observability as code,Techniques,false
Open Policy Agent (OPA),Tools,false
Voice platforms,Platforms,false
Next-generation test tools,Tools,false
Crypto shredding,Techniques,false
Products over projects,Techniques,false
Logs as data,Techniques,false
Decoupling deployment from release,Techniques,false
Gitflow,Techniques,false
Development environments in the cloud,Techniques,false
Truffle,Languages & Frameworks,false
AnyStatus,Tools,false
Travis for OSX/iOS,Tools,false
LeakCanary,Languages & Frameworks,false
Optimal Workshop,Tools,false
Smart systems,Techniques,false
nsp,Tools,false
PSake,Tools,false
Akka,Platforms,false
Meteor.js,Platforms,false
OWASP ASVS,Techniques,false
AWS,Platforms,false
AssertJ,Languages & Frameworks,false
Om,Languages & Frameworks,false
Run cost as architecture fitness function,Techniques,false
Silverback,Tools,false
Web Components standard,Platforms,false
Micro frontends,Techniques,false
Aggregates as documents,Techniques,false
OpenTelemetry,Platforms,false
Cosmos DB,Platforms,false
Electron,Platforms,false
Consul,Tools,false
Decision driven BI,Techniques,false
HSTS,Platforms,false
TLB,Tools,false
Hamms,Tools,false
Aurelia,Languages & Frameworks,false
Visual Studio Code,Tools,false
Architectural fitness function,Techniques,false
Productionizing Jupyter Notebooks,Techniques,false
Ocelot,Tools,false
WebFlux,Languages & Frameworks,false
MicroK8s,Platforms,false
Evolutionary database,Techniques,false
Conduit,Tools,false
Client-directed query,Techniques,false
Q#,Languages & Frameworks,false
Segregated DOM plus node for JS Testing,Techniques,false
Bluetooth Mesh,Platforms,false
Service choreography,Techniques,false
Windows Phone,Platforms,false
Butterknife,Languages & Frameworks,false
MinIO,Platforms,false
CoffeeScript,Languages & Frameworks,false
PlantUML,Tools,false
Living CSS Style Guides,Techniques,false
Terraform provider GoCD,Tools,false
Apache camel,Tools,false
git-secrets,Tools,false
Incremental data warehousing,Techniques,false
Hyperapp,Languages & Frameworks,false
Partition infrastructure along team bounds,Techniques,false
Flagr,Tools,false
Accumulate-only data,Techniques,false
LocalStack,Tools,false
Atlas and BeeHive,Languages & Frameworks,false
C# 4.0,Languages & Frameworks,false
Automation of technical tests,Techniques,false
Linux containers,Platforms,false
The three Rs of security,Techniques,false
OkHttp,Languages & Frameworks,false
acs-engine,Tools,false
Anthos,Platforms,false
EventStore,Platforms,false
react-testing-library,Languages & Frameworks,false
Sonar,Tools,false
Deequ,Languages & Frameworks,false
Mapbox,Platforms,false
Rake for Java & .NET,Tools,false
iPhone,Platforms,false
asdf-vm,Tools,false
Health check pages,Techniques,false
Redux,Languages & Frameworks,false
Fastly,Platforms,false
WebRTC,Languages & Frameworks,false
Singleton infrastructure,Platforms,false
JavaScript tooling,Tools,false
Couchbase,Platforms,false
api.ai,Platforms,false
Knet.jl,Languages & Frameworks,false
Spring Cloud,Languages & Frameworks,false
RDF triple stores,Tools,false
Crazy Egg,Tools,false
Sizzy,Tools,false
Wallaby.js,Tools,false
Manual infrastructure management,Techniques,false
Glitch,Platforms,false
Pitest,Tools,false
Structured logging,Techniques,false
Django REST,Languages & Frameworks,false
Testcontainers,Languages & Frameworks,false
Docker Toolbox,Tools,false
Keras,Languages & Frameworks,false
DeepLearning.scala,Languages & Frameworks,false
Single threaded servers with asynchronous I/O,Platforms,false
Social code analysis,Techniques,false
Rapidoid,Languages & Frameworks,false
Docker Notary,Tools,false
kops,Tools,false
Tango,Platforms,false
Robolectric,Languages & Frameworks,false
Generated infrastructure diagrams,Techniques,false
Acceptance test of journeys,Techniques,false
Vert.x,Platforms,false
Federated learning,Techniques,false
Big enterprise solutions,Platforms,false
Communication between those responsible for hardware and software,Platforms,false
React Styleguidist,Tools,false
Recharts,Languages & Frameworks,false
Carthage,Tools,false
Declarative provisioning,Techniques,false
Care about languages,Languages & Frameworks,false
SDN,Platforms,false
Treating VMs like physical infrastructure,Platforms,false
Packetbeat,Tools,false
Gitrob,Tools,false
Crux,Platforms,false
Terraform,Tools,false
Security sandwich,Techniques,false
Dependabot,Tools,false
OWASP Dependency-Check,Tools,false
ReactiveX,Languages & Frameworks,false
AWS ECS,Platforms,false
Anka,Platforms,false
Cross mobile platforms,Tools,false
Apache Beam,Languages & Frameworks,false
OpenTracing,Platforms,false
Ignoring OWASP Top 10,Techniques,false
ReSwift,Languages & Frameworks,false
Azure Stack,Platforms,false
HTML5 storage instead of cookies,Techniques,false
Cloud-init,Tools,false
Large format mobile devices,Platforms,false
Datomic,Platforms,false
MockK,Languages & Frameworks,false
Polycloud,Techniques,false
Pace-layered Application Strategy,Techniques,false
OpenAPM,Tools,false
Hangfire,Languages & Frameworks,false
Programming in your CI/CD tool,Techniques,false
Mobile testing on mobile networks,Techniques,false
Foreman,Tools,false
.NET Core,Platforms,false
Kotlin,Languages & Frameworks,false
Trivy,Tools,false
Bitrise,Tools,false
U2F,Platforms,false
Espruino,Platforms,false
Logic-free markup,Tools,false
Puppet-librarian and Chef-librarian,Tools,false
Cypress,Tools,false
Message buses without smarts,Tools,false
Cloud Foundry,Platforms,false
Tailored Service Template,Techniques,false
Hyperledger,Platforms,false
Mobile payment systems,Platforms,false
PredictionIO,Languages & Frameworks,false
Java portal servers,Platforms,false
TFS,Tools,false
Load Impact,Tools,false
Risk-commensurate vendor strategy,Techniques,false
RDF & SPARQL,Platforms,true
Apache Flink,Platforms,false
Gatling,Tools,false
Kafka Streams,Platforms,false
Infrastructure configuration scanner,Techniques,false
Flyway,Tools,false
Serverspec,Tools,false
Conversationally aware APIs,Techniques,false
Private Clouds,Platforms,false
UI dev environments,Tools,false
Apache Superset,Tools,false
Care about hardware,Platforms,false
Spacemacs,Tools,false
Nashorn,Languages & Frameworks,false
Keycloak,Platforms,false
Tablet (formerly iPad),Platforms,false
Anemic REST,Techniques,false
Cloud lift and shift,Techniques,false
Lottie,Tools,false
ECMAScript 2017,Languages & Frameworks,false
Boot2docker,Tools,false
Threat Modeling,Techniques,false
DevOps as a team,Techniques,false
Iterative data warehousing,Techniques,false
CartoDB,Tools,false
RIBs,Languages & Frameworks,false
Fairseq,Languages & Frameworks,false
Oculus Quest,Platforms,false
Arrow,Languages & Frameworks,false
Web Bluetooth,Platforms,false
CSS frameworks,Languages & Frameworks,false
Domain-specific PaaS,Platforms,false
Falco,Tools,false
Focus on mean time to recovery,Techniques,false
Low-code platforms,Platforms,false
Pointer Events,Languages & Frameworks,false
GoCD,Tools,false
MMKV,Languages & Frameworks,false
Origami,Tools,false
Secrets as a service,Techniques,false
NestJS,Languages & Frameworks,false
